Voting ID,Voting Date,Voting PDF URL,Expected number of Target Votes
80-20,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_20,444
80-21,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_21,441
80-22,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_22,453
80-23,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_23,453
80-24,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_24,446
80-25,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_25,452
80-26,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_26,452
80-27,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_27,450
80-28,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_28,440
80-29,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_29,452
80-30,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_30,438
80-31,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_31,446
80-32,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_32,451
80-33,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_33,453
80-34,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_34,441
80-35,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_35,447
80-36,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_36,450
80-37,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_37,450
80-38,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_38,452
80-39,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_39,450
80-40,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_40,390
80-41,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_41,449
80-42,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_42,451
80-43,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_43,441
80-44,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_44,450
80-45,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_45,450
80-46,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_46,448
80-47,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_47,448
80-48,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_48,448
80-49,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_49,444
80-50,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_50,447
80-51,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_51,446
80-52,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_52,445
80-53,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_53,450
80-54,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_54,442
80-55,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_55,441
80-56,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_56,452
80-57,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_57,449
80-58,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_58,441
80-59,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_59,451
80-60,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_60,450
80-61,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_61,442
80-62,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_62,441
80-63,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_63,442
80-64,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_64,451
80-65,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_65,447
80-66,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_66,448
80-67,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_67,443
80-68,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_68,439
80-69,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_69,438
80-70,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_70,449
80-71,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_71,444
80-72,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_72,424
80-73,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_73,438
80-74,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_74,451
80-75,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_75,430
80-76,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_76,432
80-77,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_77,430
80-78,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_78,440
80-79,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_79,446
80-80,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_80,444
80-81,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_81,448
80-82,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_82,446
80-83,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_83,440
80-84,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_84,445
80-85,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_85,446
80-86,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_86,442
80-87,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_87,442
80-88,28.07.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&80_88,445
